1153530-state-of-louisiana-contract-with-city-of-new,"lion Two Hundred Seventy Five Thousand andno/l00 ($52,275,000) Dollars (the ?Grant Funds?), for the pu",f
204998-4-13-09-lee-ledbetter-and-associates-apc-nopd,"ed Thermography Report Total Amendment$ 212,080.00$1,736.2518,528.00 8,388.00 $ 5,187.50 $ 245,919.75$",f
1157558-urs-corporation-contract-with-city-of-new," limitation for Basic Program Management Services $28,374.00from $368,571.00 to $396,945.00; andWHEREA",f
1157558-urs-corporation-contract-with-city-of-new,"ion services for segments IV and for a ?xed feeof $50,363.96 with a maximum lirnitatio-n of $420,609.3",f
204964-5-1-08-scnz-architects-wesley-barrow-stadium,"ough the competitive selection process _ _ is for $15,000 or less and therefore exempt _ _ has been de",f
779247-02-18-13-frontier-airlines-airport-lease-agreement,"mmencement of any improvements totaling more than $50,000, in areasaccessible to the public, NOAB shal",f
1153748-argus-architecture-engineering-llc-contract-with,"Liability Insurance shall have a minimum limit of $500,000 per accident. In the caseof sublet, DESIGNE",f
205241-10-31-09-all-south-consulting-engineers,"neral1iability insurance in amounts not less than $1,000,000 per occurrence. ARTICLE XII NOTICE Sectio",f
166446-5-21-09-jahncke-and-burns-architects-llc-touro,"e will be purchased and maintained with limits of $1,000,000 per occurrence and $2,000,000 in the aggr",f
1155407-phoenix-global-engineering-and-construction-inc,"and increase the lump sum budget in the amount of $55,832.WHEREAS, the City entered into an Amendment ",t
1155551-msf-global-solutions-llc-contract-with-city-of,"The rnaximlnn sum payable under this Amendment is $903,000. This is a price protection   contract and ",t
328074-01-25-12-hms-architects-cemeteries,"dment New Agreement Sum including this Amendment$ $9,500.00 9,500.00$221,311.00 $ 00.00 $221,311.00 $ ",f
166261-5-8-09-three-fold-consultants-llc-village-de,"Liability Insurance shall have a minimum limit of $500,000. In the case of sublet, Designer shall requ",t
1155552-n-r-peace-contract-with-city-of-new-orleans-this,"ion, to decrease the total compensationpayable by $23,457.00 (Twenty three thousand, four hundred ?ity",f
1032014-department-of-transportation-amp-development,oo ofi BEQHOQ Eflwze won #83. mo memo: Emhomhcofi $8 dmammxa E50 m: mommomm23. fiouofimzoo 52. 95: muE,f
