" services as stated below: The maximum sum payable under this Agreement is $80,000. Contractor will retain all commissions received for flood placements.",166708-10-1-09-h-amp-g-insurance-inc
"ts; o Employers Liability with a minimal acceptable limit of not less than $1,000,000; o Alternate Employer Endorsement in favor of the City of New Orle",166708-10-1-09-h-amp-g-insurance-inc
"ternative; with a minimal acceptable per occurrence limit of not less than $1,000,000 and $2,000,000 general aggregate.Note: The General Liability Cover",166708-10-1-09-h-amp-g-insurance-inc
"PROFESSIONAL LIABILITY: o With a minimal acceptable limit of not less than $1,000,000; o Coverage for the Producer's liability for its operations as an ",166708-10-1-09-h-amp-g-insurance-inc
"s compensation for the performance of Services under this Agreementwill be $22.00/hour, not to exceed 35 hours a week for 13 weeks. The total maximum agg",1033463-anthony-trimble-contract-with-city-of-new
"ount payable by the City under thisAgreement for compensation and costs is $10,120.00.Professional Services Agreement 6City of New Orleans and Anthony Tr",1033463-anthony-trimble-contract-with-city-of-new
"t SELECT ONE _ has been through the competitive selection process _ is for $15,000 or less and therefore exempt _ has been declared an emergen y the Chie",204888-7-1-08-princeton-public-health-fellowship
" with the conditions set forth herein, the University will send a grant of $43,396, covering salary and benefits, directly to NOHD. In turn, NOHD will us",204888-7-1-08-princeton-public-health-fellowship
" pay the Contractor the maximum amount of One Hundred Eighty-Six Thousand ($186,000.00) Dollars for services provided in conjunction with this agreement a",165288-1-1-10-travelers-aid-society-of-new-orleans
"ent. SECTION IX - AUDIT COMPLIANCE345678910111213Organizations that expend $500,000 or more of federal funds in the organization's fiscal year, are requir",165288-1-1-10-travelers-aid-society-of-new-orleans
"tion of the audit cost.1617 18All other organizations who expend less than $500,000 in federal funds, may be selected tohave an audit performed on those f",165288-1-1-10-travelers-aid-society-of-new-orleans
" on an ?occurrence? basis;with a minimal acceptable limit of not less than $1,000,000 per occurrence; $3,000,000 aggregateand shall include products com",1154030-the-moreward-group-llc-contract-with-city-of-new
"eted operations coverage with a minimal acceptable limit of notless than a $3,000,000 aggregate and Personal Injury with a minimal acceptable limit of n",1154030-the-moreward-group-llc-contract-with-city-of-new
l services under this Agreement will betwenty-five dollars and zero cents ($25.00) per hour per deputy sheriff providing security servicesCooperative End,1049425-orleans-parish-sheriffs-office-contract-with
"f _11 of? the agreement, increase theamount payable under this category by $48,707.00 (Forty eightthousand, seven hundred seven dollars and no cents) fro",1153577-aidslaw-of-louisiana-inc-contract-with-city-of
"00A16 Overtime after eight hours fuiiy devoted to City work only, per hour $61.00A20 Services of roadway technician at the job site, per hour $41.00A30 T",1157298-eustis-engineering-services-llc-contract-with
"w of contractor submittal for compliance with speci?cationB11 requirements $82.00812 Gradation tests of sand andlor gravel, per test $65.00Sampting sand ",1157298-eustis-engineering-services-llc-contract-with
"r thicknessE330 determination, 4?in. diameter by 8?in. depth maximum, each $115.00B301 For each additional inch or part thereof $10.00Sampling concrete at",1157298-eustis-engineering-services-llc-contract-with
"nuciear gauge method, each (minimum of four testsC30 charged per call out) $35.00C40 Depth check of engineered base material, each $19.00C50 Atterberg li",1157298-eustis-engineering-services-llc-contract-with
"al Engineering -F10 including permits and utility drawing review, lump sum $710.00F20 5-ft deep boring and associated laboratory testing, per boring $280.",1157298-eustis-engineering-services-llc-contract-with
"n from proposed subcontractors prior to the award of subcontractsexceeding $10,000 which are not exempt from the provisions of the equal opportunity clau",1157298-eustis-engineering-services-llc-contract-with
"ude the provisions of this clause in every subcontract or purchaseorder of $10,000 or more uniess exempted by rules, reguiations, or orders of the Secret",1157298-eustis-engineering-services-llc-contract-with
"val of any modification to the schedule.The City may assess the Consultant $1,500 per calendar day for each phase that is not completedby the deadline i",741334-10-01-12-waggoner-engineering-milan-touro
" amount due under this Agreement for Phases I IV, and V(a) shall notexceed $313,754.31. The maximum amount due under this Agreement for Phase V(b) (ifrequ",741334-10-01-12-waggoner-engineering-milan-touro
"nce with State law and commercial general liability insurance not lessthan $1 ,O00,000_per occurrence and general aggregate. 5. - Acknowledgment of Excl",741334-10-01-12-waggoner-engineering-milan-touro
"sal Rates. The Disposal Rate for the remainder of 2011 will be reduced from$34.25 to $29.11 per ton of waste. Thereafter, the Disposal Rate will be adjus",1146943-river-birch-incorporated-contract-with-city-of
"ust 2013 at the end of0. Agree to limit all program income to no more than $25,000 or reimburse the City of New Orleansthe full amount of the contract in",781758-06-14-13-efforts-of-grace-summer-day-camps-nord
o perform the contracted services according to the following fee schedule. $300.00 per hour The City will also reimburse the contractor for approved out-o,166925-11-1-09-dr-adel-shaker-md-professional-services
"e and telecopy and search. The maximum sum payable under this Agreement is $15,000. The Contractor shall submit to the City detailed monthly invoices for",166925-11-1-09-dr-adel-shaker-md-professional-services
"mergency transportation services.3. FEES: The City will pay the Contractor $15,000.00 to perform the contracted services. The maximumsum payable under th",1154059-pro-messaging-llc-contract-with-city-of-new
"lars will invoice City of New Orleans the appropriate amount (notto exceed $35,000) once KaBOOlvii has secured the final costs from the surfacing vendor.",1031423-kaboom-contract-with-city-of-new-orleans-cea
"o the playground site.Page 2 of12 Contribute eight thousand, five hundred ($8,508) to in support of the Project, which will apply the funds directly to ",1031423-kaboom-contract-with-city-of-new-orleans-cea
"espective vendors that have been been received by contracted by Payment of $35,000 made to for rubber suriacing NORDC Within 30 calendar days of Buildand",1031423-kaboom-contract-with-city-of-new-orleans-cea
"City within 45 days (forty-five) of execution of this amendment. 3. To add $4,800,000 to the Agreement making the maximum amount of compensation payable",166411-5-15-09-visionit-inc
"hall not at any time exceed the maximum compensation, in the aggregate, of $464,780.00. Further, all compensation owed Contractor pursuant to this Agreeme",204851-8-19-08-three-fold-consultants-engineering
"t to make sure all concerns and needs are addressed. The project value was $1 million. City of New Orleans Public Library Improvements, City of New Orle",204851-8-19-08-three-fold-consultants-engineering
"t is currently on hold waiting funding. The project value is approximately $1.8 million.Serves as Executive Vice President of Three Fold Consultants, LL",204851-8-19-08-three-fold-consultants-engineering
"s were performed in less than one year's time for a total project value of $3.5 million. Design Engineer and Project Manager, Broadmoor Lift Station Imp",204851-8-19-08-three-fold-consultants-engineering
"sing resident inspectors. This project is currently valued at an estimated $5 million. Mr. Yost is in communication with parish engineering department, ",204851-8-19-08-three-fold-consultants-engineering
"t to make sure all concerns and needs are addressed. The project value was $13 million. Construction Supervisor, Ramsey Street Improvements, City of New ",204851-8-19-08-three-fold-consultants-engineering
ntractor's foremen and the client. The project is currently valued at over $1.6 million.Has an extensive background in roadway construction and construc,204851-8-19-08-three-fold-consultants-engineering
"mpensationpayable under this agreement up to a maximum amount not to exceed$566,001.00 (Five hundred sixty six thousand, one dollar and no cents).3 In Amb",1159055-priority-health-care-inc-contract-with-city-of
" of 14 of theagreement, increase the amount payable under this category by $20,000.00(Twenty thousand dollars and no cents) from $6,000.00 (Six thousand ",1159055-priority-health-care-inc-contract-with-city-of
" of 14 of theagreement, increase the amount payable under this category by $170,734.00(One hundred seventy thousand, seven hundred thirty four dollars and",1159055-priority-health-care-inc-contract-with-city-of
" $73,800.00 (Seventy three thousand, eight hundred dollars and no cents) to$244,534.00 (Two hundred forty four thousand, five hundred thirty four dollarsa",1159055-priority-health-care-inc-contract-with-city-of
" of 14 of the agreement,increase the amount payable under this category by $128,544.00 (One hundredtwenty eight thousand, ?ve hundred forty four dollars a",1159055-priority-health-care-inc-contract-with-city-of
"0 (Seventy nine thousand, one hundred seventy five dollars and nocents) to $207,719.00 (Two hundred seven thousand, seven hundred nineteendollars and no c",1159055-priority-health-care-inc-contract-with-city-of
" of 14 of theagreement, decrease the amount payable under this category by $69,434.00(Sixty nine thousand, four hundred thirty four dollars and no cents)",1159055-priority-health-care-inc-contract-with-city-of
