General Liability insurance will be purchased and maintained with limits of1000000 per occurrence and 2000000 in the aggregate The insurance shal,1155694-st-martin-brown-amp-associates-llp-contract-with
000000 total construction value 5000000 per project aggregate5 Over 25000000 total construction value per project aggregate limits to be estab,1155694-st-martin-brown-amp-associates-llp-contract-with
ilar circumstances10 K Designer shall be liable for a delay penalty of 500 per calendar day for late submissions andormissed milestones in the Const,1155694-st-martin-brown-amp-associates-llp-contract-with
l Opinion of Probable CostDesigner shall be liable for a delay penalty of 50000 per calendar day for late submissions ofthe deliverables listed above a,1155694-st-martin-brown-amp-associates-llp-contract-with
will pay the Contractor for professional legal services at a fixed rate of 7500per hour per attorney inclusive of all costs fees expenses and overh,323792-05-02-11-kara-williams-legal-services-housing
s of 1110 of an hour The maximum amount to be paid under this contract is 2000000 No amount of work is guaranteed under this agreement payments wil,323792-05-02-11-kara-williams-legal-services-housing
grees to compensate the Contractor in the amount not to exceed amaximum of 37500000 Three hundred seventy ve thousand dollars and nocents for servic,1160444-childrens-hospital-contract-with-city-of-new
evant federal guidelinesfor any and all contract expenditures in excess of 50000000 Two copies of the said Iaudit are to be forwarded to the Mayors O,1160444-childrens-hospital-contract-with-city-of-new
ry herein the maximimumcompensation payable under this agreement shall be 15000 The term of this Agreement is from the Effective Date through October,1160354-stone-pigman-walther-wittmann-l-l-c-contract
act providers at the cumulative rate ofthree hundred seventyfive dollars 375 per day and any and all stipulated damages received by Lessee from a con,1153490-parking-facilities-corporation-contract-with
 insurance guaranteeing the timely payment of principaland interest on the 45940000 Louisiana Local Government Environmental Facilitiesand Community D,1153490-parking-facilities-corporation-contract-with
sreportsi Daylight Overdraft Protection The bank must provide a minimum 1000000 DaylightOverdraft Line of Credit subject to credit review by the b,1155463-liberty-bank-amp-trust-co-contract-with-city-of
language inserted in its entiretyThe City shall compensate the Contractor 6000 per hour for professional servicesfor audits performed in Louisiana and,1156398-assured-compliance-inc-contract-with-city-of-new
n of the necessary funds Themaximum amount payable under this contract is 7500000Both parties to this amendment Assured Compliance Inc and the C,1156398-assured-compliance-inc-contract-with-city-of-new
this agreement9 oF 14f1 2 34All other organizations who expend less than 500000 in federal funds may be selected to have an audit performed on those f,326395-09-01-10-catholic-charities-archidocese-of-new
ding Occupational Disease subject to a limit of liability of notless than 10000000Comprehensive General Liability Insurance with limits of liability,1659935-the-beta-group-engineering-and-construction
urrence The limits of liability for property damage shall not be less than50000000 each occurrence and not less than 50000000 aggregate Such insur,1659935-the-beta-group-engineering-and-construction
le limits of liability injury andor death andfor property damage shall be 50000000B Each insurance policy maintained by the Consultant or performed,1659935-the-beta-group-engineering-and-construction
rtakings and recognizances in an amountnot to exceed Ten Million Dollars 10000000 for any single obligation and specifically for the following des,1112756-drc-emergency-services-llc-contract-with-city-of
ion The Agreement is amended to increase the compensation in the amountof 26000000 two hundred sixty thousand dollars and no cents The maximumaggre,1023240-no-aids-task-force-contract-with-city-of-new
age bodily injury and personal advertising injury withlimits no less than 1000000 per occurrence If a general aggregate limit applies either thege,1659989-libertys-kitchen-inc-libertys-kitchen-wisner-cea
stodyand control of the contractor Coverage limits shall not be less than 500000Other Insurance ProvisionsThe insurance policies are to contain or be,1659989-libertys-kitchen-inc-libertys-kitchen-wisner-cea
y agrees to pay the Contractor the maximum amount of Thirtyfive Thousand 35000 Dollars for services provided in conjunction with this agreement A p,165140-1-1-10-house-of-ruth-reading-program
20 219 of 14f1 23SECTION VIII  AUDIT COMPLIANCEOrganizations that expend 500000 or more of federal funds in the organizations fiscal year are require,165140-1-1-10-house-of-ruth-reading-program
le portion of the audit cost All other organizations who expend less than 500000 in federal funds may be selected to have an audit perfonned on those ,165140-1-1-10-house-of-ruth-reading-program
r reproduction reimbursementThe Designer is liable for a delay penalty of 500 per calendar day for late submissionsdeductible by the City without furth,1153492-wdg-llc-contract-with-city-of-new-orleans-this
anding the maximum fee payable under thisAgreement for Basic Services is 47914700 unless altered by a written executedamendment to this AgreementTh,1153492-wdg-llc-contract-with-city-of-new-orleans-this
y as determined maybe imposed by the Chief Administrative Officer of up to 50000 per dayExtensions It is understood and acknowledged by all parties to ,1153492-wdg-llc-contract-with-city-of-new-orleans-this
General Liability insurance will be purchased and maintained with limits of1000000 per occurrence and 2000000 in the aggregate The insurance shal,1153492-wdg-llc-contract-with-city-of-new-orleans-this
lCompletion or the acceptance of the project whichever is later1 Under 1000000 total construction value 500000 per claim and annual aggregate,1153492-wdg-llc-contract-with-city-of-new-orleans-this
uested by the City2FEES The maximum sum payable under this Agreement is 15000 As a prerequisite topayment Contractor shall submit invoices detaili,1155644-trumpet-contract-with-city-of-new-orleans-to
ensation payable under this agreement up to a maximum amount not to exceed 56454100 Five hundred sixtyfour thousand five hundred fortyone dollars a,165370-1-19-09-southeastern-louisiana-area-health
 June 30 20122 The maximum compensation payable under this amendment is 323784200 andincludes die following line items a 100000000 of Disas,1155530-hagerty-consulting-inc-contract-with-city-of-new
 a new Police Stables and Canine facilityat a revised construction cost of 489802500 with the associatedfee calculated using the Louisiana Fee Calcu,1153980-scnz-architects-l-l-c-contract-with-city-of-new
mined and agreed upon by theparties to this Agreement at a later dateTOTAL54994900B The term of the Original Agreement is hereby extended for one yea,1153555-c-amp-s-consultants-inc-contract-with-city-of
 described in AttachmentA2 FEES The sum payable under this Agreement is 55416003 TERM The term of this Agreement is from the execution date sta,1154567-socrata-inc-contract-with-city-of-new-orleans
pensation The maximum aggregate sum payable pursuant to this Arnendment is6000003 Audit and Other Oversight It is agreed that the Contractor will,1031243-sigma-consulting-corp-contract-with-city-of-new
n established units of service in the39 amount riot to exceed a maximum of 16568500 one hundred sixty ve thousand six40 hundred eighty five dollars,1158841-childrens-hospital-contract-with-city-of-new
 on an occurrence basiswith a minimal acceptable limit of not less than 1000000 per occurrence 3000000 aggregateand shall inelude products com,1158841-childrens-hospital-contract-with-city-of-new
eted operations coverage with a minimal acceptable limit of notless than a 3000000 aggregate and Personal Injury with a minimal acceptable limit of n,1158841-childrens-hospital-contract-with-city-of-new
of this agreement14SECTION IX  AUDIT COMPLIANCEOrganizations that expend 500000 or more of federal funds in the organizations fiscal yearare required,1155472-catholic-charities-archdiocese-of-new-orleans
ibleportion of the audit costAll other organizations who expend less than 500000 in federal funds my be selected tohave an audit performed on those fun,1155472-catholic-charities-archdiocese-of-new-orleans
ELECT ONE Js been through the competitive selection process ti for15OOO or less and therefore exempt iss f has been declared an emergency by t,204874-7-3-08-hoffman-seychal-legal-services
 needed 2 FEES The City will pay the Contractor an amount not to exceed 1500000 to perform the contracted services and in accordance with the follo,204874-7-3-08-hoffman-seychal-legal-services
